country,predictor,best_lag,best_abs_corr,corr_at_lag1
Canada,gdp_can_l1,-1,0.30543262888776157,-0.03246310795721933
Canada,unemp_can_l1,-3,-0.28383031543886084,0.01699176035576621
Canada,ippi_can_l1,-2,0.1746999787427994,0.07730536699580762
Canada,oil_wti_l1,-1,0.48136342948268374,0.039758804118311085
Canada,exrate_can_l1,-1,0.15507972425746208,0.08009885992812064
United States,gdp_us_l1,-1,0.3168454141273707,0.10964545756384245
United States,u6_us_l1,-4,-0.2512132551997973,-0.0901588409734293
United States,ppi_us_l1,-3,0.3205668581895391,0.20155257589000522
United States,oil_wti_l1,-1,0.5447279278521088,0.18166598858008587
United States,mxp_us_l1,-1,0.5252941641907073,0.24439157057628186
